LANDUSE_TYPE,USER,PIPE DIAM,VENDOR,JAN16,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12
H3,DOMESTICO MEDIO,0.5,CICASA MMD-15 S,1176,20,20,20,13,22,23,40,20,21,16,15,9,11,10,4,0,2,4,5,4,3,2,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,15,0,19,20,26,39,20,16,18,15,40,37,21,23,22,1,41,41,40,31,28,38,40,28,25,21,23,29,27,53,50,49,57,85,52,72
H3,SOCIAL,0.5,MSDELAUNET,323,18,19,15,15,20,30,35,27,20,16,18,13,16,10,9,11,10,13,17,11,21,12,13,13,16,15,13,14,15,12,12,13,13,11,11,12,11,11,11,11,10,10,0,15,15,15,15,15,15,15,15,15,15,15,15,24,24,24,24,18,14,16,10,12,12,12,12,14,14,11,16,11,16,10,15,13,9,14,15,17,10,11,11,10
H3,DOMESTICO RESIDENCIAL,0.5,CICASA MMD-15 S,114,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,2,1,0,1,0,0,1,0,1,1,0,6,2,1,1,1,0,3,0,1,3,8,2,2,0,0,0,1,0,0,0,0,0,0,0,23,24,23,23,0,2,1,2,1,2,2,3,3,4,4,5,5,8,5,4,4,6,8,5,7,6,8,10,4
H3,SOCIAL,0.5,CICASA MMD-15 S,503,18,13,14,18,15,22,16,16,16,17,16,16,15,15,15,15,15,15,14,15,14,14,14,14,14,14,13,14,13,13,13,13,13,12,12,12,0,7,6,16,15,16,17,18,18,13,20,14,16,18,12,17,18,23,11,19,18,14,16,15,18,1,18,20,17,18,17,19,19,14,22,17,23,19,22,30,40,32,21,24,21,19,23,17
H3,SOCIAL,0.5,CICASA MMD-15 S,711,20,20,20,9,14,11,15,14,13,11,13,9,15,11,12,11,11,11,11,11,11,10,10,10,10,10,10,10,10,9,9,9,9,8,8,8,0,14,12,13,16,16,16,16,18,12,16,14,12,15,12,16,18,22,18,14,17,13,15,13,14,17,14,29,15,18,15,17,16,11,16,10,12,9,14,13,12,16,14,14,13,13,12,11
H3,DOMESTICO MEDIO,0.5,,,30,30,30,31,9,20,0,20,18,16,13,14,13,15,14,14,13,13,13,13,13,12,12,12,12,12,10,10,9,9,8,9,9,8,8,8,20,0,2,1,3,7,6,2,3,3,4,5,3,4,4,2,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
H3,DOMESTICO RESIDENCIAL,0.5,,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
H3,DOMESTICO RESIDENCIAL,0.5,CICASA MMD-15 S,396,14,14,14,14,14,10,10,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,8,5,5,4,5,5,3,9,5,6,5,6,6,5,5,10,9,4,3,8,5,5,6,6,7,5,3,5,4,6,5,7,4,6,4,4,10,9,9,6,5,5,5,9,8,13,11,10,9,11,8,11,9,6,4,9,9,11,11
H3,SOCIAL,0.5,MSDELAUNET,628,20,20,20,16,19,24,22,24,24,21,23,18,25,14,17,19,18,18,18,17,17,17,17,17,16,16,16,16,16,16,15,15,15,14,14,14,20,0,35,26,28,37,41,53,28,28,32,25,30,32,23,23,27,38,30,26,28,27,28,29,28,0,18,23,24,22,22,27,30,17,24,21,30,24,23,25,59,66,22,24,23,20,22,26
H3,DOMESTICO RESIDENCIAL,0.5,,,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,5,3,17,15,14,12,0,8,7,6,4,3,3,3,3,3,6,5,4,5,4,4,4,4,24
